node,type
DB12867,drug
DB09128,drug
DB08815,drug
DB00372,drug
DB00508,drug
DB01618,drug
DB01621,drug
DB01233,drug
DB01622,drug
DB00662,drug
DB12401,drug
r(-)-apomorphine,drug
DB00915,drug
DB01623,drug
DB09018,drug
DB04924,drug
DB04844,drug
DB01425,drug
DB00933,drug
1815,protein
DB00800,drug
6347,protein
3741,protein
DB00297,drug
7280,protein
7297,protein
4318,protein
348,protein
5055,protein
3897,protein
3767,protein
3482,protein
DB09083,drug
348980,protein
610,protein
57657,protein
10021,protein
DB00026,drug
3554,protein
3654,protein
1514,protein
DB07477,drug
196,protein
DB00379,drug
DB00338,drug
DB08995,drug
1613,protein
8856,protein
DB00682,drug
DB01220,drug
DB13179,drug
DB00754,drug
DB00531,drug
DB01181,drug
DB00564,drug
DB01045,drug
2335,protein
7436,protein
2872,protein
2876,protein
DB09035,drug
5133,protein
DB09037,drug
3786,protein
3785,protein
56479,protein
1195,protein
1462,protein
1404,protein
6262,protein
4294,protein
DB00146,drug
7421,protein
falecalcitriol,drug
DB00910,drug
DB06410,drug
DB02300,drug
DB00136,drug
DB00169,drug
DB13689,drug
DB01070,drug
DB00153,drug
DB06272,drug
51079,protein
DB01206,drug
81551,protein
2904,protein
2081,protein
5337,protein
6195,protein
DB00042,drug
6844,protein
57396,protein
DB00017,drug
799,protein
1163,protein
22809,protein
23173,protein
1719,protein
DB00250,drug
DB00440,drug
DB06813,drug
DB00563,drug
DB01157,drug
3075,protein
3747,protein
3746,protein
2697,protein
DB00640,drug
135,protein
DB00824,drug
DB11757,drug
DB04932,drug
DB06213,drug
DB01412,drug
1131,protein
DB01036,drug
DB00185,drug
DB04843,drug
DB11235,drug
aceclidine,drug
DB00517,drug
DB00424,drug
DB00462,drug
DB01062,drug
DB00340,drug
DB01085,drug
DB00715,drug
DB01409,drug
DB09167,drug
DB00376,drug
DB00747,drug
DB03128,drug
DB00411,drug
DB00383,drug
DB08897,drug
vinburnine,drug
DB01591,drug
DB00505,drug
DB09262,drug
DB00804,drug
DB06702,drug
DB01231,drug
DB00670,drug
DB06709,drug
DB00809,drug
DB00387,drug
DB00332,drug
trepibutone,drug
DB00771,drug
DB11181,drug
DB00986,drug
DB00572,drug
DB00729,drug
DB09076,drug
DB00782,drug
DB00810,drug
DB00725,drug
DB01019,drug
diphemanil,drug
DB00835,drug
DB00496,drug
DB01625,drug
6197,protein
DB00036,drug
2152,protein
DB09332,drug
2155,protein
5196,protein
2043,protein
11113,protein
DB06439,drug
4023,protein
DB04878,drug
8972,protein
DB00284,drug
960,protein
DB00674,drug
1139,protein
DB01483,drug
DB00657,drug
DB01199,drug
6284,protein
DB01164,drug
3760,protein
DB00052,drug
2690,protein
DB00082,drug
10673,protein
DB08879,drug
90411,protein
DB00112,drug
7422,protein
DB01270,drug
DB08885,drug
DB09047,drug
7153,protein
DB01059,drug
DB00978,drug
DB01165,drug
DB01177,drug
DB00685,drug
DB04576,drug
DB00385,drug
DB01204,drug
DB04967,drug
DB01208,drug
DB01137,drug
DB00467,drug
DB06193,drug
DB00218,drug
2147,protein
DB04898,drug
dabigatran-etexilate,drug
DB06695,drug
DB00001,drug
DB12598,drug
dabigatran,drug
DB09109,drug
DB00006,drug
DB11166,drug
DB09228,drug
DB05777,drug
5327,protein
DB00513,drug
DB08932,drug
1910,protein
DB06403,drug
DB00559,drug
DB06268,drug
ACT-132577,drug
DB00092,drug
914,protein
3356,protein
DB09016,drug
DB00843,drug
DB00924,drug
DB08810,drug
DB00751,drug
1066,protein
DB04838,drug
4846,protein
DB00360,drug
DB00579,drug
6531,protein
DB01105,drug
DB01156,drug
DB00285,drug
DB00937,drug
DB01146,drug
DB06700,drug
DB01576,drug
DB00745,drug
DB00865,drug
benztropine-mesylate,drug
DB06701,drug
DB01255,drug
DB00245,drug
DB06413,drug
DB00422,drug
DB01175,drug
DB00830,drug
DB01577,drug
DB01114,drug
DB00191,drug
4144,protein
5618,protein
7525,protein
774,protein
DB01202,drug
291,protein
10769,protein
147,protein
DB06694,drug
DB00706,drug
DB09205,drug
DB01579,drug
DB00211,drug
DB06707,drug
DB00692,drug
DB00575,drug
DB00298,drug
DB00723,drug
DB00388,drug
10645,protein
5148,protein
DB00862,drug
DB00203,drug
152503,protein
9088,protein
2862,protein
DB00207,drug
111,protein
2562,protein
DB06716,drug
DB00425,drug
5606,protein
6898,protein
DB00120,drug
79885,protein
5321,protein
1909,protein
2895,protein
64386,protein
10114,protein
DB05630,drug
7150,protein
DB01030,drug
SN-38,drug
DB00762,drug
4255,protein
DB00853,drug
5685,protein
DB00686,drug
2246,protein
9468,protein
DB00069,drug
3454,protein
DB00068,drug
DB00008,drug
DB00060,drug
DB00105,drug
DB00034,drug
DB00022,drug
2891,protein
2892,protein
41,protein
2901,protein
128,protein
DB00822,drug
217,protein
5293,protein
23649,protein
785,protein
1363,protein
780,protein
1633,protein
DB00738,drug
1787,protein
